Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\XRF Scan 2 Head.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:51:36 AM
TotalElapsedTimeInSeconds,31
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
313,6.24,27
314,6.26,31
315,6.28,44
316,6.3,34
317,6.32,45
318,6.34,34
319,6.36,35
320,6.38,40
321,6.4,39
322,6.42,41
323,6.44,35
324,6.46,25
325,6.48,18
326,6.5,13
327,6.52,22
328,6.54,11
329,6.56,8
330,6.58,18
331,6.6,12
332,6.62,10
333,6.64,7
334,6.66,8
335,6.68,6
336,6.7,10
337,6.72,6
338,6.74,3
339,6.76,7
340,6.78,12
341,6.8,7
342,6.82,12
343,6.84,10
344,6.86,9
345,6.88,13
346,6.9,11
347,6.92,13
348,6.94,9
349,6.96,8
350,6.98,15
351,7,14
352,7.02,18
353,7.04,13
354,7.06,12
355,7.08,9
356,7.1,11
357,7.12,12
358,7.14,10
359,7.16,14
360,7.18,16
361,7.2,10
362,7.22,11
363,7.24,9
364,7.26,11
365,7.28,10
366,7.3,10
367,7.32,15
368,7.34,12
369,7.36,13
370,7.38,17
371,7.4,22
372,7.42,27
373,7.44,18
374,7.46,20
375,7.48,21
376,7.5,25
377,7.52,27
378,7.54,33
379,7.56,31
380,7.58,29
381,7.6,28
382,7.62,33
383,7.64,39
384,7.66,39
385,7.68,48
386,7.7,55
387,7.72,84
388,7.74,131
389,7.76,187
390,7.78,305
391,7.8,494
392,7.82,778
393,7.84,1171
394,7.86,1896
395,7.88,2753
396,7.9,3964
397,7.92,5164
398,7.94,6742
399,7.96,8331
400,7.98,9768
401,8,11005
402,8.02,11865
403,8.04,12497
404,8.06,12238
405,8.08,11735
406,8.1,10562
407,8.12,9150
408,8.14,7295
409,8.16,5788
410,8.18,4569
411,8.2,3313
412,8.22,2350
413,8.24,1670
414,8.26,1055
415,8.28,668
416,8.3,470
417,8.32,286
418,8.34,180
419,8.36,132
420,8.38,103
421,8.4,69
422,8.42,55
423,8.44,49
424,8.46,42
425,8.48,47
426,8.5,33
427,8.52,51
428,8.54,45
429,8.56,37
430,8.58,56
431,8.6,76
432,8.62,84
433,8.64,119
434,8.66,137
435,8.68,173
436,8.7,280
437,8.72,396
438,8.74,501
439,8.76,708
440,8.78,923
441,8.8,1177
442,8.82,1458
443,8.84,1635
444,8.86,1842
445,8.88,1986
446,8.9,2004
447,8.92,1979
448,8.94,1873
449,8.96,1704
450,8.98,1537
451,9,1237
452,9.02,1016
453,9.04,795
454,9.06,624
455,9.08,454
456,9.1,282
457,9.12,188
458,9.14,146
459,9.16,91
460,9.18,56
461,9.2,35
462,9.22,44
463,9.24,20
464,9.26,20
465,9.28,15
466,9.3,15
467,9.32,10
468,9.34,13
469,9.36,7
470,9.38,5
471,9.4,6
472,9.42,5
473,9.44,1
474,9.46,1
475,9.48,3
476,9.5,2
477,9.52,1
478,9.54,2
