Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\JAG XRF Scan 3 Tails.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:52:53 AM
TotalElapsedTimeInSeconds,31
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
312,6.22,19
313,6.24,23
314,6.26,32
315,6.28,45
316,6.3,40
317,6.32,42
318,6.34,36
319,6.36,39
320,6.38,38
321,6.4,32
322,6.42,23
323,6.44,21
324,6.46,23
325,6.48,28
326,6.5,31
327,6.52,11
328,6.54,16
329,6.56,20
330,6.58,15
331,6.6,17
332,6.62,7
333,6.64,7
334,6.66,9
335,6.68,6
336,6.7,4
337,6.72,7
338,6.74,6
339,6.76,11
340,6.78,17
341,6.8,10
342,6.82,13
343,6.84,8
344,6.86,10
345,6.88,11
346,6.9,15
347,6.92,15
348,6.94,12
349,6.96,10
350,6.98,8
351,7,10
352,7.02,16
353,7.04,10
354,7.06,15
355,7.08,11
356,7.1,18
357,7.12,7
358,7.14,9
359,7.16,12
360,7.18,16
361,7.2,8
362,7.22,10
363,7.24,17
364,7.26,5
365,7.28,9
366,7.3,17
367,7.32,7
368,7.34,19
369,7.36,14
370,7.38,21
371,7.4,20
372,7.42,17
373,7.44,29
374,7.46,28
375,7.48,30
376,7.5,31
377,7.52,41
378,7.54,22
379,7.56,27
380,7.58,18
381,7.6,30
382,7.62,32
383,7.64,44
384,7.66,37
385,7.68,41
386,7.7,63
387,7.72,53
388,7.74,112
389,7.76,163
390,7.78,268
391,7.8,413
392,7.82,725
393,7.84,1119
394,7.86,1670
395,7.88,2441
396,7.9,3561
397,7.92,4808
398,7.94,6215
399,7.96,7378
400,7.98,8840
401,8,10131
402,8.02,10989
403,8.04,11331
404,8.06,11258
405,8.08,10645
406,8.1,9373
407,8.12,8254
408,8.14,6769
409,8.16,5447
410,8.18,4039
411,8.2,3036
412,8.22,2129
413,8.24,1417
414,8.26,932
415,8.28,609
416,8.3,328
417,8.32,240
418,8.34,148
419,8.36,96
420,8.38,78
421,8.4,57
422,8.42,57
423,8.44,43
424,8.46,33
425,8.48,32
426,8.5,37
427,8.52,32
428,8.54,48
429,8.56,45
430,8.58,65
431,8.6,57
432,8.62,81
433,8.64,112
434,8.66,140
435,8.68,183
436,8.7,235
437,8.72,351
438,8.74,487
439,8.76,575
440,8.78,771
441,8.8,1009
442,8.82,1302
443,8.84,1543
444,8.86,1754
445,8.88,1805
446,8.9,1869
447,8.92,1814
448,8.94,1686
449,8.96,1663
450,8.98,1384
451,9,1115
452,9.02,961
453,9.04,685
454,9.06,588
455,9.08,370
456,9.1,269
457,9.12,189
458,9.14,135
459,9.16,93
460,9.18,62
461,9.2,46
462,9.22,39
463,9.24,34
464,9.26,22
465,9.28,14
466,9.3,12
467,9.32,12
468,9.34,14
469,9.36,5
470,9.38,8
471,9.4,8
472,9.42,5
473,9.44,7
474,9.46,2
475,9.48,2
476,9.5,0
477,9.52,5
478,9.54,3
479,9.56,4
480,9.58,8
481,9.6,3
482,9.62,3
483,9.64,5
484,9.66,6
485,9.68,1
486,9.7,3
487,9.72,3
488,9.74,2
489,9.76,5
490,9.78,3
491,9.8,0
492,9.82,1
493,9.84,5
494,9.86,3
495,9.88,3
496,9.9,4
497,9.92,3
498,9.94,5
499,9.96,4
500,9.98,3
501,10,4
502,10.02,2
503,10.04,2
504,10.06,5
505,10.08,2
506,10.1,2
507,10.12,8
508,10.14,0
509,10.16,6
510,10.18,4
511,10.2,5
512,10.22,8
513,10.24,10
514,10.26,15
515,10.28,10
516,10.3,27
517,10.32,46
518,10.34,50
519,10.36,82
520,10.38,116
521,10.4,117
522,10.42,187
523,10.44,213
524,10.46,284
525,10.48,288
526,10.5,309
527,10.52,350
528,10.54,366
529,10.56,393
530,10.58,328
531,10.6,343
532,10.62,277
533,10.64,264
534,10.66,220
535,10.68,169
536,10.7,128
537,10.72,111
538,10.74,63
539,10.76,57
540,10.78,39
541,10.8,37
542,10.82,21
543,10.84,16
544,10.86,16
545,10.88,11
546,10.9,9
547,10.92,11
548,10.94,20
549,10.96,18
550,10.98,20
551,11,48
552,11.02,64
553,11.04,63
554,11.06,105
555,11.08,129
556,11.1,170
557,11.12,194
558,11.14,211
559,11.16,223
560,11.18,228
561,11.2,258
562,11.22,283
563,11.24,265
564,11.26,231
565,11.28,239
566,11.3,178
567,11.32,161
568,11.34,140
569,11.36,95
570,11.38,74
571,11.4,44
572,11.42,35
573,11.44,33
574,11.46,20
575,11.48,19
576,11.5,17
577,11.52,13
578,11.54,11
579,11.56,6
580,11.58,12
581,11.6,9
582,11.62,6
583,11.64,12
584,11.66,10
585,11.68,11
586,11.7,10
587,11.72,16
588,11.74,7
589,11.76,9
590,11.78,12
591,11.8,11
592,11.82,7
593,11.84,6
594,11.86,14
595,11.88,10
596,11.9,4
597,11.92,7
598,11.94,5
599,11.96,7
600,11.98,9
601,12,7
602,12.02,10
603,12.04,10
604,12.06,11
605,12.08,11
606,12.1,15
607,12.12,9
608,12.14,20
609,12.16,20
610,12.18,12
611,12.2,23
612,12.22,27
613,12.24,27
614,12.26,41
615,12.28,28
616,12.3,43
617,12.32,44
618,12.34,46
619,12.36,54
620,12.38,67
621,12.4,95
622,12.42,95
623,12.44,106
624,12.46,136
625,12.48,180
626,12.5,229
627,12.52,250
628,12.54,263
629,12.56,288
630,12.58,303
631,12.6,308
632,12.62,323
633,12.64,311
634,12.66,301
635,12.68,243
636,12.7,249
637,12.72,230
638,12.74,179
639,12.76,173
640,12.78,121
641,12.8,78
642,12.82,81
643,12.84,51
644,12.86,55
645,12.88,31
646,12.9,36
647,12.92,34
648,12.94,26
649,12.96,18
650,12.98,17
651,13,16
652,13.02,23
653,13.04,20
654,13.06,11
655,13.08,17
656,13.1,15
657,13.12,8
658,13.14,15
659,13.16,8
660,13.18,9
661,13.2,7
662,13.22,5
663,13.24,6
664,13.26,10
665,13.28,4
666,13.3,5
667,13.32,8
668,13.34,7
669,13.36,12
670,13.38,7
671,13.4,5
672,13.42,2
