Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\JAG XRF Scan 1 Head.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:31:55 AM
TotalElapsedTimeInSeconds,182
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
312,6.22,159
313,6.24,177
314,6.26,216
315,6.28,242
316,6.3,295
317,6.32,319
318,6.34,320
319,6.36,347
320,6.38,336
321,6.4,326
322,6.42,316
323,6.44,302
324,6.46,253
325,6.48,197
326,6.5,165
327,6.52,141
328,6.54,130
329,6.56,95
330,6.58,99
331,6.6,73
332,6.62,72
333,6.64,58
334,6.66,75
335,6.68,54
336,6.7,54
337,6.72,46
338,6.74,51
339,6.76,44
340,6.78,51
341,6.8,48
342,6.82,63
343,6.84,83
344,6.86,64
345,6.88,57
346,6.9,75
347,6.92,86
348,6.94,69
349,6.96,83
350,6.98,102
351,7,105
352,7.02,98
353,7.04,95
354,7.06,78
355,7.08,85
356,7.1,93
357,7.12,99
358,7.14,86
359,7.16,68
360,7.18,78
361,7.2,74
362,7.22,70
363,7.24,66
364,7.26,62
365,7.28,83
366,7.3,72
367,7.32,76
368,7.34,66
369,7.36,89
370,7.38,87
371,7.4,105
372,7.42,109
373,7.44,116
374,7.46,124
375,7.48,140
376,7.5,128
377,7.52,143
378,7.54,137
379,7.56,155
380,7.58,161
381,7.6,167
382,7.62,176
383,7.64,168
384,7.66,183
385,7.68,232
386,7.7,307
387,7.72,433
388,7.74,639
389,7.76,1022
390,7.78,1551
391,7.8,2574
392,7.82,4173
393,7.84,6565
394,7.86,10052
395,7.88,14591
396,7.9,20719
397,7.92,28047
398,7.94,36443
399,7.96,45178
400,7.98,53422
401,8,60297
402,8.02,65264
403,8.04,67745
404,8.06,66394
405,8.08,63258
406,8.1,56710
407,8.12,49099
408,8.14,41073
409,8.16,32429
410,8.18,24781
411,8.2,18183
412,8.22,12619
413,8.24,8500
414,8.26,5748
415,8.28,3608
416,8.3,2271
417,8.32,1492
418,8.34,936
419,8.36,581
420,8.38,432
421,8.4,365
422,8.42,311
423,8.44,260
424,8.46,240
425,8.48,231
426,8.5,282
427,8.52,231
428,8.54,257
429,8.56,297
430,8.58,366
431,8.6,400
432,8.62,480
433,8.64,568
434,8.66,804
435,8.68,1044
436,8.7,1463
437,8.72,2015
438,8.74,2727
439,8.76,3660
440,8.78,4773
441,8.8,6339
442,8.82,7551
443,8.84,8553
444,8.86,9703
445,8.88,10624
446,8.9,10925
447,8.92,10899
448,8.94,10349
449,8.96,9467
450,8.98,8244
451,9,6870
452,9.02,5568
453,9.04,4411
454,9.06,3295
455,9.08,2375
456,9.1,1682
457,9.12,1206
458,9.14,895
459,9.16,603
460,9.18,462
461,9.2,342
462,9.22,292
463,9.24,220
464,9.26,182
465,9.28,165
466,9.3,136
467,9.32,90
468,9.34,95
469,9.36,81
470,9.38,58
471,9.4,43
472,9.42,43
473,9.44,37
474,9.46,30
475,9.48,30
476,9.5,35
477,9.52,21
478,9.54,28
479,9.56,26
480,9.58,27
481,9.6,30
482,9.62,27
483,9.64,25
484,9.66,26
485,9.68,23
486,9.7,21
487,9.72,28
488,9.74,17
489,9.76,23
490,9.78,29
491,9.8,26
492,9.82,25
493,9.84,13
494,9.86,17
495,9.88,18
496,9.9,31
497,9.92,22
498,9.94,27
499,9.96,18
500,9.98,21
501,10,26
502,10.02,43
503,10.04,25
504,10.06,32
505,10.08,22
506,10.1,31
507,10.12,30
508,10.14,41
509,10.16,43
510,10.18,48
511,10.2,53
512,10.22,99
513,10.24,98
514,10.26,172
515,10.28,216
516,10.3,316
517,10.32,501
518,10.34,670
519,10.36,910
520,10.38,1274
521,10.4,1657
522,10.42,2106
523,10.44,2454
524,10.46,3061
525,10.48,3531
526,10.5,3795
527,10.52,4007
528,10.54,4249
529,10.56,4289
530,10.58,4151
531,10.6,3817
532,10.62,3497
533,10.64,3016
534,10.66,2424
535,10.68,1999
536,10.7,1481
537,10.72,1145
538,10.74,807
539,10.76,630
540,10.78,441
541,10.8,325
542,10.82,201
543,10.84,161
544,10.86,136
545,10.88,113
546,10.9,91
547,10.92,106
548,10.94,141
549,10.96,192
550,10.98,226
551,11,302
552,11.02,447
553,11.04,566
554,11.06,782
555,11.08,981
556,11.1,1247
557,11.12,1506
558,11.14,1722
559,11.16,1955
560,11.18,2083
561,11.2,2206
562,11.22,2310
563,11.24,2152
564,11.26,2011
565,11.28,1861
566,11.3,1642
567,11.32,1387
568,11.34,1156
569,11.36,880
570,11.38,710
571,11.4,523
572,11.42,387
573,11.44,289
574,11.46,194
575,11.48,165
576,11.5,115
577,11.52,82
578,11.54,70
579,11.56,67
580,11.58,63
581,11.6,49
582,11.62,38
583,11.64,45
584,11.66,46
585,11.68,57
586,11.7,59
587,11.72,56
588,11.74,65
589,11.76,62
590,11.78,60
591,11.8,73
592,11.82,39
593,11.84,55
594,11.86,47
595,11.88,47
596,11.9,57
597,11.92,59
598,11.94,54
599,11.96,58
600,11.98,62
601,12,76
602,12.02,88
603,12.04,82
604,12.06,97
605,12.08,130
606,12.1,145
607,12.12,179
608,12.14,192
609,12.16,203
610,12.18,230
611,12.2,241
612,12.22,289
613,12.24,280
614,12.26,346
615,12.28,389
616,12.3,380
617,12.32,452
618,12.34,516
619,12.36,627
620,12.38,740
621,12.4,847
622,12.42,1076
623,12.44,1290
624,12.46,1695
625,12.48,1996
626,12.5,2391
627,12.52,2861
628,12.54,3202
629,12.56,3563
630,12.58,3762
631,12.6,3971
632,12.62,3925
633,12.64,3885
634,12.66,3686
635,12.68,3306
636,12.7,2955
637,12.72,2568
638,12.74,2219
639,12.76,1828
640,12.78,1511
641,12.8,1201
642,12.82,918
643,12.84,776
644,12.86,580
645,12.88,486
646,12.9,401
647,12.92,321
648,12.94,281
649,12.96,238
650,12.98,264
651,13,219
652,13.02,221
653,13.04,189
654,13.06,191
655,13.08,179
656,13.1,112
657,13.12,112
658,13.14,107
659,13.16,94
660,13.18,69
661,13.2,83
662,13.22,69
663,13.24,47
664,13.26,42
665,13.28,44
666,13.3,50
667,13.32,56
668,13.34,58
669,13.36,40
670,13.38,44
671,13.4,45
672,13.42,40
673,13.44,43
674,13.46,37
675,13.48,44
676,13.5,25
677,13.52,30
678,13.54,30
679,13.56,30
680,13.58,28
681,13.6,24
682,13.62,27
683,13.64,28
684,13.66,27
685,13.68,31
686,13.7,23
687,13.72,23
688,13.74,31
689,13.76,22
690,13.78,28
691,13.8,17
692,13.82,31
693,13.84,25
694,13.86,34
695,13.88,32
696,13.9,37
697,13.92,32
698,13.94,26
699,13.96,26
700,13.98,30
701,14,32
702,14.02,44
703,14.04,37
704,14.06,45
705,14.08,29
706,14.1,36
707,14.12,44
708,14.14,39
709,14.16,41
710,14.18,52
711,14.2,52
712,14.22,39
713,14.24,52
714,14.26,43
715,14.28,36
716,14.3,58
717,14.32,47
718,14.34,61
719,14.36,57
720,14.38,61
721,14.4,46
722,14.42,44
723,14.44,56
724,14.46,45
725,14.48,63
726,14.5,72
727,14.52,78
728,14.54,100
729,14.56,118
730,14.58,150
731,14.6,212
732,14.62,201
733,14.64,277
734,14.66,356
735,14.68,371
736,14.7,446
737,14.72,466
738,14.74,495
739,14.76,477
740,14.78,506
741,14.8,481
742,14.82,457
743,14.84,395
744,14.86,355
745,14.88,318
746,14.9,273
747,14.92,209
748,14.94,196
749,14.96,178
750,14.98,165
751,15,161
752,15.02,144
753,15.04,132
754,15.06,178
755,15.08,169
756,15.1,182
757,15.12,184
758,15.14,174
759,15.16,162
760,15.18,191
761,15.2,160
762,15.22,173
763,15.24,152
764,15.26,128
765,15.28,128
766,15.3,109
767,15.32,109
768,15.34,96
769,15.36,73
770,15.38,57
771,15.4,59
772,15.42,66
773,15.44,61
774,15.46,55
775,15.48,44
776,15.5,45
777,15.52,31
778,15.54,41
779,15.56,47
780,15.58,48
781,15.6,49
782,15.62,54
783,15.64,56
784,15.66,54
785,15.68,54
786,15.7,43
787,15.72,62
788,15.74,55
789,15.76,68
790,15.78,60
791,15.8,72
792,15.82,90
793,15.84,87
794,15.86,128
795,15.88,111
796,15.9,125
797,15.92,152
798,15.94,192
799,15.96,215
800,15.98,232
801,16,322
802,16.02,314
803,16.04,343
804,16.06,377
805,16.08,394
806,16.1,387
807,16.12,364
808,16.14,398
809,16.16,339
810,16.18,316
811,16.2,248
812,16.22,224
813,16.24,173
814,16.26,149
815,16.28,113
816,16.3,113
817,16.32,92
818,16.34,60
819,16.36,53
820,16.38,51
821,16.4,45
822,16.42,47
823,16.44,47
824,16.46,37
825,16.48,41
826,16.5,50
827,16.52,44
828,16.54,35
829,16.56,44
830,16.58,40
831,16.6,41
832,16.62,39
833,16.64,48
834,16.66,48
835,16.68,53
836,16.7,45
837,16.72,56
838,16.74,54
839,16.76,64
840,16.78,81
841,16.8,80
842,16.82,89
843,16.84,103
844,16.86,134
845,16.88,143
846,16.9,143
847,16.92,142
848,16.94,143
849,16.96,160
850,16.98,162
851,17,148
852,17.02,136
853,17.04,145
854,17.06,127
855,17.08,115
856,17.1,72
857,17.12,62
858,17.14,70
859,17.16,67
860,17.18,47
861,17.2,56
862,17.22,56
863,17.24,46
864,17.26,48
865,17.28,51
866,17.3,52
867,17.32,36
868,17.34,72
869,17.36,38
870,17.38,32
871,17.4,40
872,17.42,30
873,17.44,51
874,17.46,26
875,17.48,47
876,17.5,42
877,17.52,47
878,17.54,43
879,17.56,39
880,17.58,41
881,17.6,41
882,17.62,43
883,17.64,48
884,17.66,57
885,17.68,51
886,17.7,46
887,17.72,52
888,17.74,51
889,17.76,63
890,17.78,50
891,17.8,44
892,17.82,50
893,17.84,51
894,17.86,43
895,17.88,56
896,17.9,55
897,17.92,64
898,17.94,49
899,17.96,58
900,17.98,53
901,18,43
902,18.02,38
903,18.04,44
904,18.06,57
905,18.08,44
906,18.1,44
907,18.12,49
908,18.14,59
909,18.16,52
910,18.18,57
911,18.2,48
912,18.22,45
913,18.24,68
914,18.26,43
915,18.28,41
916,18.3,59
917,18.32,49
918,18.34,47
919,18.36,50
920,18.38,56
921,18.4,67
922,18.42,66
923,18.44,76
924,18.46,74
925,18.48,87
926,18.5,96
927,18.52,91
928,18.54,93
929,18.56,103
930,18.58,86
931,18.6,93
932,18.62,122
933,18.64,111
934,18.66,113
935,18.68,106
936,18.7,104
937,18.72,108
938,18.74,97
939,18.76,112
940,18.78,101
941,18.8,97
942,18.82,90
943,18.84,108
944,18.86,94
945,18.88,94
946,18.9,105
947,18.92,94
948,18.94,114
949,18.96,96
950,18.98,109
951,19,99
952,19.02,95
953,19.04,123
954,19.06,112
955,19.08,124
956,19.1,109
957,19.12,141
958,19.14,120
959,19.16,109
960,19.18,137
961,19.2,112
962,19.22,117
963,19.24,117
964,19.26,123
965,19.28,100
966,19.3,114
967,19.32,98
968,19.34,121
969,19.36,105
970,19.38,91
971,19.4,100
972,19.42,81
973,19.44,101
974,19.46,105
975,19.48,105
976,19.5,72
977,19.52,102
978,19.54,81
