Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\JAG XRF Scan 3 Heads.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:53:55 AM
TotalElapsedTimeInSeconds,32
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
313,6.24,33
314,6.26,39
315,6.28,22
316,6.3,50
317,6.32,39
318,6.34,43
319,6.36,40
320,6.38,32
321,6.4,34
322,6.42,36
323,6.44,26
324,6.46,26
325,6.48,14
326,6.5,21
327,6.52,15
328,6.54,11
329,6.56,13
330,6.58,11
331,6.6,11
332,6.62,7
333,6.64,15
334,6.66,11
335,6.68,9
336,6.7,6
337,6.72,8
338,6.74,11
339,6.76,5
340,6.78,8
341,6.8,10
342,6.82,9
343,6.84,12
344,6.86,10
345,6.88,8
346,6.9,8
347,6.92,16
348,6.94,15
349,6.96,17
350,6.98,14
351,7,17
352,7.02,15
353,7.04,15
354,7.06,15
355,7.08,13
356,7.1,11
357,7.12,6
358,7.14,9
359,7.16,12
360,7.18,14
361,7.2,15
362,7.22,15
363,7.24,11
364,7.26,18
365,7.28,14
366,7.3,19
367,7.32,18
368,7.34,11
369,7.36,13
370,7.38,20
371,7.4,30
372,7.42,28
373,7.44,23
374,7.46,28
375,7.48,29
376,7.5,35
377,7.52,31
378,7.54,42
379,7.56,33
380,7.58,33
381,7.6,32
382,7.62,42
383,7.64,32
384,7.66,41
385,7.68,60
386,7.7,57
387,7.72,62
388,7.74,149
389,7.76,193
390,7.78,315
391,7.8,503
392,7.82,805
393,7.84,1282
394,7.86,1913
395,7.88,2874
396,7.9,3957
397,7.92,5364
398,7.94,7093
399,7.96,8611
400,7.98,10098
401,8,11512
402,8.02,12315
403,8.04,12755
404,8.06,12584
405,8.08,11868
406,8.1,10833
407,8.12,9194
408,8.14,7647
409,8.16,6084
410,8.18,4625
411,8.2,3305
412,8.22,2394
413,8.24,1606
414,8.26,1090
415,8.28,711
416,8.3,444
417,8.32,274
418,8.34,176
419,8.36,125
420,8.38,100
421,8.4,62
422,8.42,50
423,8.44,63
424,8.46,43
425,8.48,50
426,8.5,48
427,8.52,50
428,8.54,50
429,8.56,46
430,8.58,50
431,8.6,76
432,8.62,71
433,8.64,117
434,8.66,140
435,8.68,189
436,8.7,255
437,8.72,362
438,8.74,484
439,8.76,664
440,8.78,942
441,8.8,1188
442,8.82,1436
443,8.84,1611
444,8.86,1925
445,8.88,1989
446,8.9,2028
447,8.92,2035
448,8.94,2030
449,8.96,1829
450,8.98,1547
451,9,1314
452,9.02,1018
453,9.04,802
454,9.06,616
455,9.08,424
456,9.1,324
457,9.12,211
458,9.14,155
459,9.16,74
460,9.18,59
461,9.2,47
462,9.22,34
463,9.24,14
464,9.26,20
465,9.28,14
466,9.3,10
467,9.32,7
468,9.34,6
469,9.36,3
470,9.38,3
471,9.4,3
472,9.42,4
473,9.44,5
474,9.46,6
475,9.48,4
476,9.5,2
477,9.52,2
478,9.54,5
479,9.56,5
480,9.58,2
481,9.6,3
482,9.62,3
483,9.64,1
484,9.66,2
485,9.68,5
486,9.7,1
487,9.72,4
488,9.74,5
489,9.76,3
490,9.78,1
491,9.8,1
492,9.82,4
493,9.84,1
494,9.86,4
495,9.88,3
496,9.9,2
497,9.92,3
498,9.94,3
499,9.96,3
500,9.98,6
501,10,2
502,10.02,2
503,10.04,4
504,10.06,3
505,10.08,2
506,10.1,4
507,10.12,1
508,10.14,4
509,10.16,4
510,10.18,0
511,10.2,3
512,10.22,2
513,10.24,10
514,10.26,14
515,10.28,15
516,10.3,26
517,10.32,32
518,10.34,58
519,10.36,69
520,10.38,72
